iso_code,continent,location,date,total_cases,new_cases
AFG,Asia,Afghanistan,25-02-2020,5,0
AFG,Asia,Afghanistan,26-02-2020,5,0
AFG,Asia,Afghanistan,27-02-2020,5,0
AFG,Asia,Afghanistan,28-02-2020,5,0
AFG,Asia,Afghanistan,29-02-2020,5,0
AFG,Asia,Afghanistan,01-03-2020,5,0
OWID_AFR,,Africa,13-02-2020,,0
OWID_AFR,,Africa,14-02-2020,1,1
OWID_AFR,,Africa,15-02-2020,1,0
OWID_AFR,,Africa,16-02-2020,1,0
OWID_AFR,,Africa,17-02-2020,1,0
OWID_AFR,,Africa,18-02-2020,1,0
OWID_AFR,,Africa,19-02-2020,1,0
OWID_AFR,,Africa,20-02-2020,1,0
OWID_AFR,,Africa,21-02-2020,1,0
OWID_AFR,,Africa,22-02-2020,1,0
ALB,Europe,Albania,25-02-2020,,
ALB,Europe,Albania,26-02-2020,,
ALB,Europe,Albania,27-02-2020,,
ALB,Europe,Albania,28-02-2020,,
ALB,Europe,Albania,29-02-2020,,
ALB,Europe,Albania,01-03-2020,,
ALB,Europe,Albania,02-03-2020,,
ALB,Europe,Albania,03-03-2020,,
ALB,Europe,Albania,04-03-2020,,
ALB,Europe,Albania,05-03-2020,,
ALB,Europe,Albania,06-03-2020,,
ALB,Europe,Albania,07-03-2020,,
ALB,Europe,Albania,08-03-2020,,
ALB,Europe,Albania,09-03-2020,2,2
ALB,Europe,Albania,10-03-2020,10,8
DZA,Africa,Algeria,25-02-2020,1,1
DZA,Africa,Algeria,26-02-2020,1,0
DZA,Africa,Algeria,27-02-2020,1,0
DZA,Africa,Algeria,28-02-2020,1,0
DZA,Africa,Algeria,29-02-2020,1,0
DZA,Africa,Algeria,01-03-2020,1,0
DZA,Africa,Algeria,02-03-2020,3,2
DZA,Africa,Algeria,03-03-2020,5,2
DZA,Africa,Algeria,04-03-2020,12,7
AND,Europe,Andorra,02-03-2020,1,1
AND,Europe,Andorra,03-03-2020,1,0
AND,Europe,Andorra,04-03-2020,1,0
AND,Europe,Andorra,05-03-2020,1,0
AND,Europe,Andorra,06-03-2020,1,0
AND,Europe,Andorra,07-03-2020,1,0
AND,Europe,Andorra,08-03-2020,1,0
AND,Europe,Andorra,09-03-2020,1,0
AND,Europe,Andorra,10-03-2020,1,0
AGO,Africa,Angola,20-03-2020,1,1
AGO,Africa,Angola,21-03-2020,2,1
AGO,Africa,Angola,22-03-2020,2,0
AGO,Africa,Angola,23-03-2020,3,1
AGO,Africa,Angola,24-03-2020,3,0
AGO,Africa,Angola,25-03-2020,3,0
AGO,Africa,Angola,26-03-2020,4,1
AIA,North America,Anguilla,28-03-2020,2,2
AIA,North America,Anguilla,29-03-2020,2,0
AIA,North America,Anguilla,30-03-2020,2,0
AIA,North America,Anguilla,31-03-2020,2,0
AIA,North America,Anguilla,01-04-2020,2,0
AIA,North America,Anguilla,02-04-2020,3,1
AIA,North America,Anguilla,03-04-2020,3,0
AIA,North America,Anguilla,04-04-2020,3,0
ARG,South America,Argentina,03-03-2020,1,1
ARG,South America,Argentina,04-03-2020,1,0
ARG,South America,Argentina,05-03-2020,1,0
ARG,South America,Argentina,06-03-2020,2,1
ARG,South America,Argentina,07-03-2020,8,6
ARG,South America,Argentina,08-03-2020,12,4
ARG,South America,Argentina,09-03-2020,12,0
ARM,Asia,Armenia,01-03-2020,1,1
ARM,Asia,Armenia,02-03-2020,1,0
ARM,Asia,Armenia,03-03-2020,1,0
ARM,Asia,Armenia,04-03-2020,1,0
ARM,Asia,Armenia,05-03-2020,1,0
ARM,Asia,Armenia,06-03-2020,1,0
ARM,Asia,Armenia,07-03-2020,1,0
ARM,Asia,Armenia,08-03-2020,1,0
ARM,Asia,Armenia,09-03-2020,1,0
AUS,Oceania,Australia,26-01-2020,4,4
AUS,Oceania,Australia,27-01-2020,5,1
AUS,Oceania,Australia,28-01-2020,5,0
AUS,Oceania,Australia,29-01-2020,6,1
AUS,Oceania,Australia,30-01-2020,9,3
AUS,Oceania,Australia,31-01-2020,9,0
AUS,Oceania,Australia,01-02-2020,12,3
AUS,Oceania,Australia,02-02-2020,12,0
AGO,Africa,Angola,24-06-2020,197,8
AGO,Africa,Angola,25-06-2020,212,15
AGO,Africa,Angola,26-06-2020,212,0
AGO,Africa,Angola,27-06-2020,259,47
AGO,Africa,Angola,28-06-2020,267,8
AGO,Africa,Angola,29-06-2020,276,9
AGO,Africa,Angola,30-06-2020,284,8
AGO,Africa,Angola,01-07-2020,291,7
AGO,Africa,Angola,02-07-2020,315,24
AGO,Africa,Angola,03-07-2020,328,13
AGO,Africa,Angola,04-07-2020,346,18
AGO,Africa,Angola,05-07-2020,346,0
AGO,Africa,Angola,06-07-2020,346,0
AGO,Africa,Angola,07-07-2020,386,40
AGO,Africa,Angola,08-07-2020,386,0
AGO,Africa,Angola,09-07-2020,396,10
AGO,Africa,Angola,10-07-2020,458,62
AGO,Africa,Angola,11-07-2020,462,4
AGO,Africa,Angola,12-07-2020,506,44
AGO,Africa,Angola,13-07-2020,525,19
AGO,Africa,Angola,14-07-2020,541,16
AGO,Africa,Angola,15-07-2020,576,35
AGO,Africa,Angola,16-07-2020,607,31
AGO,Africa,Angola,17-07-2020,638,31
AGO,Africa,Angola,18-07-2020,687,49
AGO,Africa,Angola,19-07-2020,705,18
AGO,Africa,Angola,20-07-2020,749,44
AGO,Africa,Angola,21-07-2020,779,30
AGO,Africa,Angola,22-07-2020,812,33
AGO,Africa,Angola,23-07-2020,851,39
AGO,Africa,Angola,24-07-2020,880,29
AGO,Africa,Angola,25-07-2020,916,36
AGO,Africa,Angola,26-07-2020,932,16
AGO,Africa,Angola,27-07-2020,950,18
AGO,Africa,Angola,28-07-2020,1000,50
AGO,Africa,Angola,29-07-2020,1078,78
AGO,Africa,Angola,30-07-2020,1109,31
AGO,Africa,Angola,31-07-2020,1148,39
AGO,Africa,Angola,01-08-2020,1164,16
AGO,Africa,Angola,02-08-2020,1199,35
AGO,Africa,Angola,03-08-2020,1280,81
AGO,Africa,Angola,04-08-2020,1344,64
AGO,Africa,Angola,05-08-2020,1395,51
AGO,Africa,Angola,06-08-2020,1483,88
AGO,Africa,Angola,07-08-2020,1538,55
AGO,Africa,Angola,08-08-2020,1572,34
AGO,Africa,Angola,09-08-2020,1672,100
AGO,Africa,Angola,10-08-2020,1679,7
AGO,Africa,Angola,11-08-2020,1735,56
AGO,Africa,Angola,12-08-2020,1762,27
AGO,Africa,Angola,13-08-2020,1815,53
AGO,Africa,Angola,14-08-2020,1852,37
AGO,Africa,Angola,15-08-2020,1879,27
AGO,Africa,Angola,16-08-2020,1906,27
AGO,Africa,Angola,17-08-2020,1935,29
AGO,Africa,Angola,18-08-2020,1966,31
AGO,Africa,Angola,19-08-2020,2015,49
AGO,Africa,Angola,20-08-2020,2044,29
AGO,Africa,Angola,21-08-2020,2068,24
AGO,Africa,Angola,22-08-2020,2134,66
AGO,Africa,Angola,23-08-2020,2171,37
AGO,Africa,Angola,24-08-2020,2222,51
AGO,Africa,Angola,25-08-2020,2283,61
AGO,Africa,Angola,26-08-2020,2332,49
AGO,Africa,Angola,27-08-2020,2415,83
AGO,Africa,Angola,28-08-2020,2471,56
AGO,Africa,Angola,29-08-2020,2551,80
AGO,Africa,Angola,30-08-2020,2624,73
AGO,Africa,Angola,31-08-2020,2654,30
AGO,Africa,Angola,01-09-2020,2729,75
AGO,Africa,Angola,02-09-2020,2777,48
AGO,Africa,Angola,03-09-2020,2805,28
AGO,Africa,Angola,04-09-2020,2876,71
AGO,Africa,Angola,05-09-2020,2935,59
AGO,Africa,Angola,06-09-2020,2965,30
AGO,Africa,Angola,07-09-2020,2981,16
AGO,Africa,Angola,08-09-2020,3033,52
AGO,Africa,Angola,09-09-2020,3092,59
AGO,Africa,Angola,10-09-2020,3217,125
AGO,Africa,Angola,11-09-2020,3279,62
AGO,Africa,Angola,12-09-2020,3335,56
AGO,Africa,Angola,13-09-2020,3388,53
AGO,Africa,Angola,14-09-2020,3439,51
AGO,Africa,Angola,15-09-2020,3569,130
AGO,Africa,Angola,16-09-2020,3675,106
AGO,Africa,Angola,17-09-2020,3789,114
AGO,Africa,Angola,18-09-2020,3848,59
AGO,Africa,Angola,19-09-2020,3901,53
AGO,Africa,Angola,20-09-2020,3991,90
AGO,Africa,Angola,21-09-2020,4117,126
AGO,Africa,Angola,22-09-2020,4236,119
AGO,Africa,Angola,23-09-2020,4363,127
AGO,Africa,Angola,24-09-2020,4475,112
AGO,Africa,Angola,25-09-2020,4590,115
AGO,Africa,Angola,26-09-2020,4672,82
AGO,Africa,Angola,27-09-2020,4718,46
AGO,Africa,Angola,28-09-2020,4797,79
AGO,Africa,Angola,29-09-2020,4905,108
AGO,Africa,Angola,30-09-2020,4972,67
AGO,Africa,Angola,01-10-2020,5114,142
AGO,Africa,Angola,02-10-2020,5211,97
AGO,Africa,Angola,03-10-2020,5370,159
AGO,Africa,Angola,04-10-2020,5402,32
AGO,Africa,Angola,05-10-2020,5530,128
AGO,Africa,Angola,06-10-2020,5725,195
AGO,Africa,Angola,07-10-2020,5725,0
AGO,Africa,Angola,08-10-2020,5958,233
AGO,Africa,Angola,09-10-2020,6031,73
AGO,Africa,Angola,10-10-2020,6246,215
AGO,Africa,Angola,11-10-2020,6366,120
AGO,Africa,Angola,12-10-2020,6488,122
AIA,North America,Anguilla,16-08-2021,137,10
AIA,North America,Anguilla,17-08-2021,137,0
AIA,North America,Anguilla,18-08-2021,137,0
AIA,North America,Anguilla,19-08-2021,154,17
AIA,North America,Anguilla,20-08-2021,154,0
AIA,North America,Anguilla,21-08-2021,166,12
AIA,North America,Anguilla,22-08-2021,166,0
AIA,North America,Anguilla,23-08-2021,166,0
AIA,North America,Anguilla,24-08-2021,166,0
AIA,North America,Anguilla,25-08-2021,174,8
AIA,North America,Anguilla,26-08-2021,194,20
AIA,North America,Anguilla,27-08-2021,194,0
AIA,North America,Anguilla,28-08-2021,194,0
AIA,North America,Anguilla,29-08-2021,201,7
AIA,North America,Anguilla,30-08-2021,217,16
AIA,North America,Anguilla,31-08-2021,217,0
AIA,North America,Anguilla,01-09-2021,217,0
AIA,North America,Anguilla,02-09-2021,256,39
AIA,North America,Anguilla,03-09-2021,256,0
AIA,North America,Anguilla,04-09-2021,279,23
AIA,North America,Anguilla,05-09-2021,279,0
AIA,North America,Anguilla,06-09-2021,296,17
AIA,North America,Anguilla,07-09-2021,296,0
AIA,North America,Anguilla,08-09-2021,305,9
AIA,North America,Anguilla,09-09-2021,305,0
AIA,North America,Anguilla,10-09-2021,312,7
AIA,North America,Anguilla,11-09-2021,312,0
AIA,North America,Anguilla,12-09-2021,312,0
AIA,North America,Anguilla,13-09-2021,318,6
AIA,North America,Anguilla,14-09-2021,318,0
AIA,North America,Anguilla,15-09-2021,318,0
AIA,North America,Anguilla,16-09-2021,325,7
AIA,North America,Anguilla,17-09-2021,331,6
AIA,North America,Anguilla,18-09-2021,331,0
AIA,North America,Anguilla,19-09-2021,331,0
AIA,North America,Anguilla,20-09-2021,331,0
AIA,North America,Anguilla,21-09-2021,340,9
ATG,North America,Antigua and Barbuda,04-01-2022,4486,203
ATG,North America,Antigua and Barbuda,05-01-2022,4486,0
ATG,North America,Antigua and Barbuda,06-01-2022,4715,229
ATG,North America,Antigua and Barbuda,07-01-2022,4715,0
ATG,North America,Antigua and Barbuda,08-01-2022,4844,129
ATG,North America,Antigua and Barbuda,09-01-2022,5058,214
ATG,North America,Antigua and Barbuda,10-01-2022,5058,0
ATG,North America,Antigua and Barbuda,11-01-2022,5058,0
ATG,North America,Antigua and Barbuda,12-01-2022,5214,156
ATG,North America,Antigua and Barbuda,13-01-2022,5214,0
ATG,North America,Antigua and Barbuda,14-01-2022,5246,32
ATG,North America,Antigua and Barbuda,15-01-2022,5321,75
ATG,North America,Antigua and Barbuda,16-01-2022,5321,0
ATG,North America,Antigua and Barbuda,17-01-2022,5321,0
ATG,North America,Antigua and Barbuda,18-01-2022,5346,25
ATG,North America,Antigua and Barbuda,19-01-2022,5741,395
ATG,North America,Antigua and Barbuda,20-01-2022,5741,0
ATG,North America,Antigua and Barbuda,21-01-2022,5815,74
ATG,North America,Antigua and Barbuda,22-01-2022,5931,116
ATG,North America,Antigua and Barbuda,23-01-2022,5931,0
ATG,North America,Antigua and Barbuda,24-01-2022,6023,92
ATG,North America,Antigua and Barbuda,25-01-2022,6023,0
ATG,North America,Antigua and Barbuda,26-01-2022,6442,419
ATG,North America,Antigua and Barbuda,27-01-2022,6524,82
ATG,North America,Antigua and Barbuda,28-01-2022,6558,34
ATG,North America,Antigua and Barbuda,29-01-2022,6558,0
ATG,North America,Antigua and Barbuda,30-01-2022,6558,0
ATG,North America,Antigua and Barbuda,31-01-2022,6627,69
ATG,North America,Antigua and Barbuda,01-02-2022,6627,0
ATG,North America,Antigua and Barbuda,02-02-2022,6732,105
ATG,North America,Antigua and Barbuda,03-02-2022,6732,0
ATG,North America,Antigua and Barbuda,04-02-2022,6732,0
ATG,North America,Antigua and Barbuda,05-02-2022,6732,0
ATG,North America,Antigua and Barbuda,06-02-2022,6853,121
ATG,North America,Antigua and Barbuda,07-02-2022,6853,0
ATG,North America,Antigua and Barbuda,08-02-2022,6853,0
ATG,North America,Antigua and Barbuda,09-02-2022,6853,0
ATG,North America,Antigua and Barbuda,10-02-2022,7321,468
ATG,North America,Antigua and Barbuda,11-02-2022,7331,10
ATG,North America,Antigua and Barbuda,12-02-2022,7331,0
ATG,North America,Antigua and Barbuda,13-02-2022,7331,0
ATG,North America,Antigua and Barbuda,14-02-2022,7331,0
ATG,North America,Antigua and Barbuda,15-02-2022,7342,11
ATG,North America,Antigua and Barbuda,16-02-2022,7395,53
ATG,North America,Antigua and Barbuda,17-02-2022,7395,0
ATG,North America,Antigua and Barbuda,18-02-2022,7400,5
ATG,North America,Antigua and Barbuda,19-02-2022,7408,8
ARG,South America,Argentina,03-04-2020,1265,132
ARG,South America,Argentina,04-04-2020,1451,186
ARG,South America,Argentina,05-04-2020,1451,0
ARG,South America,Argentina,06-04-2020,1554,103
ARG,South America,Argentina,07-04-2020,1628,74
ARG,South America,Argentina,08-04-2020,1715,87
ARG,South America,Argentina,09-04-2020,1795,80
ARG,South America,Argentina,10-04-2020,1975,180
ARG,South America,Argentina,11-04-2020,1975,0
ARG,South America,Argentina,12-04-2020,2142,167
ARG,South America,Argentina,13-04-2020,2208,66
ARG,South America,Argentina,14-04-2020,2277,69
ARG,South America,Argentina,15-04-2020,2443,166
ARG,South America,Argentina,16-04-2020,2571,128
ARG,South America,Argentina,17-04-2020,2669,98
ARG,South America,Argentina,18-04-2020,2758,89
ARG,South America,Argentina,19-04-2020,2839,81
ARG,South America,Argentina,20-04-2020,2941,102
ARG,South America,Argentina,21-04-2020,3031,90
ARG,South America,Argentina,22-04-2020,3144,113
ARG,South America,Argentina,23-04-2020,3435,291
ARG,South America,Argentina,24-04-2020,3607,172
ARG,South America,Argentina,25-04-2020,3780,173
ARG,South America,Argentina,26-04-2020,3892,112
ARG,South America,Argentina,27-04-2020,4003,111
ARG,South America,Argentina,28-04-2020,4127,124
ARG,South America,Argentina,29-04-2020,4285,158
ARG,South America,Argentina,30-04-2020,4428,143
ARG,South America,Argentina,01-05-2020,4532,104
ARG,South America,Argentina,02-05-2020,4681,149
ARG,South America,Argentina,03-05-2020,4783,102
ARG,South America,Argentina,04-05-2020,4887,104
ARG,South America,Argentina,05-05-2020,5020,133
ARG,South America,Argentina,06-05-2020,5208,188
ARG,South America,Argentina,07-05-2020,5371,163
ARG,South America,Argentina,08-05-2020,5611,240
ARG,South America,Argentina,09-05-2020,5776,165
ARG,South America,Argentina,10-05-2020,6034,258
ARG,South America,Argentina,11-05-2020,6278,244
ARG,South America,Argentina,12-05-2020,6563,285
ARG,South America,Argentina,13-05-2020,6879,316
ARG,South America,Argentina,14-05-2020,7134,255
ARG,South America,Argentina,15-05-2020,7479,345
ARG,South America,Argentina,16-05-2020,7805,326
ARG,South America,Argentina,17-05-2020,8068,263
ARG,South America,Argentina,18-05-2020,8371,303
ARG,South America,Argentina,19-05-2020,8809,438
ARG,South America,Argentina,20-05-2020,9283,474
ARG,South America,Argentina,21-05-2020,9931,648
ARG,South America,Argentina,22-05-2020,10649,718
ARG,South America,Argentina,23-05-2020,11353,704
ARG,South America,Argentina,24-05-2020,12076,723
ARG,South America,Argentina,25-05-2020,12628,552
ARG,South America,Argentina,26-05-2020,13228,600
ARG,South America,Argentina,27-05-2020,13933,705
ARG,South America,Argentina,28-05-2020,14702,769
ARG,South America,Argentina,29-05-2020,15419,717
ARG,South America,Argentina,30-05-2020,16214,795
ARG,South America,Argentina,31-05-2020,16851,637
ARG,South America,Argentina,01-06-2020,17415,564
ARG,South America,Argentina,02-06-2020,18319,904
ARG,South America,Argentina,03-06-2020,19268,949
ARG,South America,Argentina,04-06-2020,20197,929
ARG,South America,Argentina,05-06-2020,21037,840
ARG,South America,Argentina,06-06-2020,22020,983
ARG,South America,Argentina,07-06-2020,22794,774
ARG,South America,Argentina,08-06-2020,23620,826
ARG,South America,Argentina,09-06-2020,24761,1141
ARG,South America,Argentina,10-06-2020,25987,1226
ARG,South America,Argentina,11-06-2020,27373,1386
ARG,South America,Argentina,12-06-2020,28764,1391
ARG,South America,Argentina,13-06-2020,30295,1531
ARG,South America,Argentina,14-06-2020,31577,1282
ARG,South America,Argentina,15-06-2020,32785,1208
ARG,South America,Argentina,16-06-2020,34159,1374
ARG,South America,Argentina,17-06-2020,35552,1393
ARG,South America,Argentina,18-06-2020,37510,1958
ARG,South America,Argentina,19-06-2020,39570,2060
ARG,South America,Argentina,20-06-2020,41204,1634
ARG,South America,Argentina,21-06-2020,42785,1581
ARG,South America,Argentina,22-06-2020,44931,2146
ARG,South America,Argentina,23-06-2020,47203,2272
ARG,South America,Argentina,24-06-2020,49851,2648
ARG,South America,Argentina,25-06-2020,52457,2606
ARG,South America,Argentina,26-06-2020,55343,2886
ARG,South America,Argentina,27-06-2020,57744,2401
ARG,South America,Argentina,28-06-2020,59933,2189
ARG,South America,Argentina,29-06-2020,62268,2335
ARG,South America,Argentina,30-06-2020,64530,2262
ARG,South America,Argentina,01-07-2020,67197,2667
ARG,South America,Argentina,02-07-2020,69941,2744
ARG,South America,Argentina,03-07-2020,72786,2845
ARG,South America,Argentina,04-07-2020,75376,2590
ARG,South America,Argentina,05-07-2020,77815,2439
ARG,South America,Argentina,06-07-2020,80447,2632
ARG,South America,Argentina,07-07-2020,83426,2979
ARG,South America,Argentina,08-07-2020,87030,3604
ARG,South America,Argentina,09-07-2020,90693,3663
ARG,South America,Argentina,10-07-2020,94060,3367
ARG,South America,Argentina,11-07-2020,97509,3449
ARG,South America,Argentina,12-07-2020,100166,2657
ARG,South America,Argentina,13-07-2020,103265,3099
ARG,South America,Argentina,14-07-2020,106910,3645
ARG,South America,Argentina,15-07-2020,111146,4236
ARG,South America,Argentina,16-07-2020,114783,3637
ARG,South America,Argentina,17-07-2020,119301,4518
ARG,South America,Argentina,18-07-2020,122524,3223
ARG,South America,Argentina,19-07-2020,126755,4231
ARG,South America,Argentina,20-07-2020,130774,4019
ARG,South America,Argentina,21-07-2020,136118,5344
ARG,South America,Argentina,22-07-2020,141900,5782
ARG,South America,Argentina,23-07-2020,148027,6127
ARG,South America,Argentina,24-07-2020,153520,5493
ARG,South America,Argentina,25-07-2020,158334,4814
ARG,South America,Argentina,26-07-2020,162526,4192
ARG,South America,Argentina,27-07-2020,167416,4890
ARG,South America,Argentina,28-07-2020,173355,5939
ARG,South America,Argentina,29-07-2020,178996,5641
ARG,South America,Argentina,30-07-2020,185373,6377
ARG,South America,Argentina,31-07-2020,191302,5929
ARG,South America,Argentina,01-08-2020,196543,5241
ARG,South America,Argentina,02-08-2020,201919,5376
ARG,South America,Argentina,03-08-2020,206743,4824
ARG,South America,Argentina,04-08-2020,213535,6792
